,altitude,camera,date_taken,lat,long,photo_id,photo_url,title,user_id
616,173.6,Canon EOS 7D Mark II,2017:06:13 08:06:18,31.915666666666667,-25.119719444444446,36359241270,http://farm5.static.flickr.com/4351/36359241270_e23011253f.jpg,Lamprotornis nitens 9,112181416@N08
617,172.5,Canon EOS 7D Mark II,2017:06:13 08:34:39,31.916047222222222,-25.118455555555556,36359240350,http://farm5.static.flickr.com/4406/36359240350_3fee6373fc.jpg,Lamprotornis nitens,112181416@N08
618,251.8,Canon EOS 7D Mark II,2017:06:14 07:51:03,31.785383333333336,-24.42381388888889,36359237220,http://farm5.static.flickr.com/4337/36359237220_51b98560de.jpg,Loxodonta -  Elefante-africano,112181416@N08
619,250.1,Canon EOS 7D Mark II,2017:06:14 07:51:10,31.785422222222223,-24.42383611111111,35946678953,http://farm5.static.flickr.com/4363/35946678953_c81de34095.jpg,Loxodonta -  Elefante-africano,112181416@N08
620,246.3,Canon EOS 7D Mark II,2017:06:14 08:00:34,31.784069444444444,-24.420705555555557,35946677673,http://farm5.static.flickr.com/4364/35946677673_88f3480333.jpg,Loxodonta -  Elefante-africano,112181416@N08
621,246.2,Canon EOS 7D Mark II,2017:06:14 08:00:57,31.78405,-24.420697222222223,36586125302,http://farm5.static.flickr.com/4372/36586125302_52cab648c7.jpg,Loxodonta -  Elefante-africano,112181416@N08
622,246.6,Canon EOS 7D Mark II,2017:06:14 08:00:42,31.784030555555557,-24.420730555555558,36586124172,http://farm5.static.flickr.com/4404/36586124172_03361a7709.jpg,Loxodonta -  Elefante-africano,112181416@N08
623,256.4,Canon EOS 7D Mark II,2017:06:14 03:11:24,31.60614166666667,-24.991894444444444,35946668043,http://farm5.static.flickr.com/4342/35946668043_3887320494.jpg,Numida meleagris - Chicken D'Angola in freedom in the Kruger National Park - Numida meleagris - Galinha D'Angola em liberdade no Kruger National Park,112181416@N08
624,285.9,Canon EOS 7D Mark II,2017:06:14 12:17:48,31.71994722222222,-24.38863611111111,36616510471,http://farm5.static.flickr.com/4389/36616510471_3683825743.jpg,Panthera leo - Lion - Leão,112181416@N08
625,168.3,Canon EOS 7D Mark II,2017:06:13 09:51:41,31.911575,-25.115947222222225,36755709215,http://farm5.static.flickr.com/4404/36755709215_0fefb72aa2.jpg,Papio anubis  -  babuíno-anúbis,112181416@N08
626,166.9,Canon EOS 7D Mark II,2017:06:13 09:50:12,31.911588888888886,-25.115944444444445,36755708785,http://farm5.static.flickr.com/4336/36755708785_0b49a5c781.jpg,Papio anubis  -  babuíno-anúbis,112181416@N08
627,167.9,Canon EOS 7D Mark II,2017:06:13 09:51:28,31.911558333333332,-25.115947222222225,36755708335,http://farm5.static.flickr.com/4350/36755708335_a51dac683f.jpg,Papio anubis  -  babuíno-anúbis,112181416@N08
628,167.9,Canon EOS 7D Mark II,2017:06:13 09:51:28,31.911558333333332,-25.115947222222225,36616502561,http://farm5.static.flickr.com/4407/36616502561_901192c5c6.jpg,Papio anubis  -  babuíno-anúbis,112181416@N08
629,263.8,Canon EOS 7D Mark II,2017:06:14 09:29:49,31.779330555555553,-24.392741666666666,36616501291,http://farm5.static.flickr.com/4415/36616501291_331d629df9.jpg,"Phacochoerus africanus facocero, facochero ou javali-africano",112181416@N08
